<<<<<<< HEAD
-1.46813 -0.46813 1.53187
-1.15549 -0.15549 1.84451
-1.02657 -0.02657 1.97343
-0.67093 0.32907 2.32907
-0.10446 0.89554 2.89554
0.35265 1.35265 3.35265
0.68887 1.68887 3.68887
0.98431 1.98431 3.98431
1.15950 2.15950 4.15950
1.39945 2.39945 4.39945
1.49061 2.49061 4.49061
1.23279 2.23279 4.23279
0.96965 1.96965 3.96965
0.66391 1.66391 3.66391
0.02369 1.02369 3.02369
-0.04757 0.95243 2.95243
-0.71411 0.28589 2.28589
-0.91598 0.08402 2.08402
-1.39202 -0.39202 1.60798
-1.54884 -0.54884 1.45116
-1.40691 -0.40691 1.59309
-1.17725 -0.17725 1.82275
-1.02948 -0.02948 1.97052
-0.58675 0.41325 2.41325
-0.32206 0.67794 2.67794
0.26739 1.26739 3.26739
0.76140 1.76140 3.76140
0.81493 1.81493 3.81493
1.26675 2.26675 4.26675
1.17670 2.17670 4.17670
1.43253 2.43253 4.43253
1.23144 2.23144 4.23144
1.14581 2.14581 4.14581
0.68003 1.68003 3.68003
0.26225 1.26225 3.26225
-0.31672 0.68328 2.68328
-0.83112 0.16888 2.16888
-1.08578 -0.08578 1.91422
-1.30557 -0.30557 1.69443
-1.41852 -0.41852 1.58148
-1.45378 -0.45378 1.54622
-1.17458 -0.17458 1.82542
-1.05683 -0.05683 1.94317
-0.64737 0.35263 2.35263
-0.14048 0.85952 2.85952
0.29337 1.29337 3.29337
0.70049 1.70049 3.70049
1.06815 2.06815 4.06815
1.20364 2.20364 4.20364
1.44912 2.44912 4.44912
1.47570 2.47570 4.47570
1.23298 2.23298 4.23298
0.88645 1.88645 3.88645
0.84558 1.84558 3.84558
0.09581 1.09581 3.09581
-0.36067 0.63933 2.63933
-0.64021 0.35979 2.35979
-0.77101 0.22899 2.22899
-1.04588 -0.04588 1.95412
-1.13466 -0.13466 1.86534
-1.25349 -0.25349 1.74651
=======
-11.50424 -10.50424 -8.50424
-10.37003 -9.37003 -7.37003
-8.41322 -7.41322 -5.41322
-5.32884 -4.32884 -2.32884
-1.74802 -0.74802 1.25198
1.95231 2.95231 4.95231
5.09233 6.09233 8.09233
8.27120 9.27120 11.27120
10.41941 11.41941 13.41941
11.42132 12.42132 14.42132
11.51773 12.51773 14.51773
10.21185 11.21185 13.21185
8.19848 9.19848 11.19848
5.26021 6.26021 8.26021
1.90035 2.90035 4.90035
-1.82563 -0.82563 1.17437
-5.12305 -4.12305 -2.12305
-8.15968 -7.15968 -5.15968
-10.25101 -9.25101 -7.25101
-11.33378 -10.33378 -8.33378
-11.32897 -10.32897 -8.32897
-10.23527 -9.23527 -7.23527
-8.11259 -7.11259 -5.11259
-5.16160 -4.16160 -2.16160
-1.90280 -0.90280 1.09720
1.68253 2.68253 4.68253
5.25964 6.25964 8.25964
8.03639 9.03639 11.03639
10.16281 11.16281 13.16281
11.42477 12.42477 14.42477
11.46469 12.46469 14.46469
9.96055 10.96055 12.96055
8.17542 9.17542 11.17542
5.06136 6.06136 8.06136
1.83327 2.83327 4.83327
-1.80204 -0.80204 1.19796
-5.30614 -4.30614 -2.30614
-8.16223 -7.16223 -5.16223
-10.18204 -9.18204 -7.18204
-11.09985 -10.09985 -8.09985
-11.40850 -10.40850 -8.40850
-10.32273 -9.32273 -7.32273
-8.07999 -7.07999 -5.07999
-5.27242 -4.27242 -2.27242
-1.95442 -0.95442 1.04558
1.59794 2.59794 4.59794
5.37459 6.37459 8.37459
8.12117 9.12117 11.12117
10.20457 11.20457 13.20457
11.35842 12.35842 14.35842
11.39759 12.39759 14.39759
10.22227 11.22227 13.22227
8.31392 9.31392 11.31392
5.19804 6.19804 8.19804
1.72267 2.72267 4.72267
-1.73196 -0.73196 1.26804
-5.03266 -4.03266 -2.03266
-8.25026 -7.25026 -5.25026
-10.31148 -9.31148 -7.31148
-11.60119 -10.60119 -8.60119
-11.33162 -10.33162 -8.33162
>>>>>>> 4728431d2e1897746d51fcfe6f99021943799068
